glottocode,name,isocodes,level,macroarea,latitude,longitude
gamb1253,Gambai,,dialect,Africa,,
gamb1251,Gambera,gma,language,Australia,-14.29546,126.27131
gamb1259,Gambian Sign Language,,language,Africa,,
gamb1252,Gambian Wolof,wof,language,Africa,13.5337,-16.1544
gamb1258,Gamboura,,dialect,Africa,,
gamd1238,Gamdugun,,dialect,Africa,,
game1240,Gamella,,language,South America,,
game1243,Gameta,,dialect,Papunesia,,
gami1244,Gamila,,dialect,Africa,,
gami1243,Gamilaraay,kld,language,Australia,-29.9037,149.543
gami1242,Gamit,gbl,language,Eurasia,21.0697,73.6839
gami1251,Gamiya,,dialect,Africa,,
gamk1238,Gamkonora,gak,language,Papunesia,1.34308,127.506
gamo1243,Gamo,gmv,language,Africa,6.27645,37.23808
gamo1244,Gamo-Gofa-Dawro,gmo,language,Africa,6.57645,37.1381
gamo1242,Gamo (Nigeria),,dialect,Africa,,
gamo1241,Gamo-Ningi,bte,language,Africa,10.9346,9.24843
gams1239,Gamsawa,,dialect,Africa,,
gamt1238,Gamti,,dialect,Eurasia,,
gana1277,Gana,gnq,language,Papunesia,5.57583,116.145
gana1274,//Gana,gnk,language,Africa,-21.8555,22.2003
gana1267,Ganaan,zkn,dialect,Eurasia,,
gana1276,Ganádi,,dialect,Africa,,
gana1273,Ganadugu,,dialect,Africa,,
gana1278,Ganai,unn,language,Australia,,
gana1275,G||anakhwe,,dialect,Africa,,
gana1269,Ganalbingu,,dialect,Australia,,
gana1270,Ganang,gne,language,Africa,9.93195,9.09741
gana1271,Gana (Nigeria),,dialect,Africa,,
gana1272,Gananwa,,dialect,Africa,,
ganc1239,Gan Chinese,gan,language,Eurasia,27.9896,115.166
ganc1238,Ganching,,dialect,Eurasia,,
gand1255,Ganda,lug,language,Africa,0.66884,32.15153
gand1253,Ganda (Bengali),,dialect,Eurasia,,
gand1256,Ganda-Kiaka,,dialect,Africa,,
gand1257,Gandua,,dialect,Africa,,
gane1237,Gane,gzn,language,Papunesia,-0.42618,127.976
gang1264,Gangadi,,dialect,Eurasia,,
gang1265,Gangapari,,dialect,Eurasia,,
gang1269,!Gã!nge,,dialect,Africa,,
gang1267,Ganggalida,gcd,language,Australia,-17.5446,139.426
gang1270,Ganglau,ggl,language,Papunesia,-5.57945,146.1305
gang1272,Gangou,,language,Eurasia,,
gang1266,Gangte,gnb,language,Eurasia,24.5113,94.1681
gang1268,Gangulu,gnl,language,Australia,-22.7637,149.416
ganj1240,Ganja,,dialect,Eurasia,,
ganj1241,Ganjule,,dialect,Africa,,
gank1239,Gankui,,dialect,Eurasia,,
gant1243,Ganta,,dialect,Africa,,
gant1244,Gants,gao,language,Papunesia,-5.28113,144.771
ganz1246,Ganza,gza,language,Africa,10.2991,35.1373
ganz1247,Ganzi,gnz,language,Africa,6.544,19.347
ganz1245,Ganzu,,dialect,Eurasia,,
gaoo1237,Gao,gga,language,Papunesia,-8.35163,159.789
gaol1242,Gaoli,,dialect,Eurasia,,
gaol1235,Gaoyang,,dialect,Eurasia,,
gaoz1234,Gaozhou,,dialect,,,
gapa1238,Gapapaiwa,pwg,language,Papunesia,-9.73317,149.854
garr1238,Gar,,dialect,Africa,,
gara1262,Garandala,,dialect,Australia,,
gara1263,Garap,,dialect,Africa,,
gara1269,Garawa,wrk,language,Australia,-17.4504,137.72014
gara1260,Garawa (Papua New Guinea),,dialect,Papunesia,,
gara1267,Garawgino,,dialect,Africa,,
garb1238,Garbabi,,dialect,Africa,,
gard1241,Gardenese,,dialect,Eurasia,,
gard1245,Gardiol,,language,Eurasia,,
gard1242,Gar Duguri,,dialect,Africa,,
gare1237,Garea,,dialect,Papunesia,,
garh1243,Garhwali,gbm,language,Eurasia,30.5061,78.7201
gari1256,Garifuna,cab,language,North America,15.3529,-86.9091
gari1254,Garig,,dialect,Australia,,
gari1253,Garig-Ilgar,ilg,language,Australia,-11.412,132.182
gari1255,Garihe,,dialect,Papunesia,,
gark1239,Garkin,,dialect,Eurasia,,
garm1242,Garmalangga,,dialect,Australia,,
garm1241,Garmiyani,,dialect,Eurasia,,
garo1247,Garo,grt,language,Eurasia,25.2954,90.462
garo1248,Garoua,,dialect,Africa,,
garo1255,Garoua (Bata),,dialect,Africa,,
garr1259,Garre,gex,language,Africa,2.29633,44.6862
garr1261,Garreh-Ajuran,ggh,language,,,
garr1245,Garrusi,,dialect,Eurasia,,
garu1246,Garus,gyb,language,Papunesia,-4.9222,145.683
garw1238,Garwe,,dialect,Africa,,
gasc1240,Gascon,,dialect,Eurasia,,
gasc1241,Gascon (Retired),gsc,language,,,
gash1245,Gashan,,dialect,Eurasia,,
gash1250,Gashua Bade,,dialect,Africa,,
gasi1239,Gasi,,dialect,Africa,,
gasm1237,Gasmata,,dialect,Papunesia,,
gass1238,Gassan,,dialect,Africa,,
gata1239,Gata',gaq,language,Eurasia,18.6076,82.984
gath1234,Gathang,,dialect,,,
gatu1238,Gatue,,dialect,Africa,,
gaur1240,Gaur Kristen,,dialect,Papunesia,,
gaur1239,Gauru,,dialect,Papunesia,,
gava1240,Gava,,dialect,Africa,,
gava1241,Gavar,gou,language,Africa,10.5603,13.8188
gava1245,Gavar (Aramaic),,dialect,Eurasia,,
gavi1247,Gavião,,dialect,South America,,
gavi1246,Gavião Do Jiparaná,gvo,language,South America,-10.7235,-61.6752
gavo1238,Gavot,,dialect,Eurasia,,
gawa1249,Gawambaraay,,dialect,Australia,,
gawa1248,Gawan Naw',,dialect,Eurasia,,
gawa1247,Gawar-Bati,gwt,language,Eurasia,35.1982,71.5428
gawd1238,Gawdi of Goa,,dialect,Eurasia,,
gawh1238,Gawhara,,dialect,Eurasia,,
gawi1244,Gawi,,dialect,Africa,,
gawi1240,Gawir,,dialect,Papunesia,,
gaww1239,Gawwada,gwd,language,Africa,5.37869,37.2737
gaya1252,Gaya,,dialect,Africa,,
gaya1250,Gaya (East Chadic),,dialect,Africa,,
gaya1240,Gayam,,dialect,Africa,,
gaya1251,Gayar,,dialect,Africa,,
gaye1238,Gayegi,,dialect,Africa,,
gayi1237,Gayil,gyl,language,Africa,6.15034,36.67211
gaym1238,Gaymona,,dialect,Africa,,
gayo1244,Gayo,gay,language,Papunesia,4.3733,97.3456
gazi1243,Gazi,gzi,language,Eurasia,34.0357,49.4553
gazi1244,Gaziantep,,dialect,Eurasia,,
gbab1238,Gbabana,,dialect,Africa,,
gbad1242,Gbadi,,dialect,Africa,,
gbad1235,Gbado,,dialect,Africa,,
gbae1238,Gbaeson,,dialect,Africa,,
gbag1254,Gbaga-Nord,,dialect,Africa,,
gbag1255,Gbaga-South,,dialect,Africa,,
gbag1253,Gbagiri,,dialect,Africa,,
gbag1258,Gbagyi,gbr,language,Africa,9.29842,6.90495
gbag1257,Gbagyi Nkwa,,dialect,Africa,,
gbam1238,Gbambiya,,dialect,Africa,,
gagu1242,Gban,ggu,language,Africa,6.40859,-5.51851
gban1262,Gbanmi-Sokun Kakanda,,dialect,Africa,,
gban1261,Gbantu,,dialect,Africa,,
gban1260,Gbanu,gbv,language,Africa,5.28183,17.3887
gban1258,Gbanziri-Boraka,gbg,language,Africa,4.68467,20.2609
gbar1235,Gbarain,,dialect,Africa,,
gbar1247,Gbarbo,,dialect,Africa,,
gbar1246,Gbari,gby,language,Africa,8.46411,7.10757
gbas1238,Gba Sor,,dialect,Africa,,
gbat1238,Gbati-ri,gti,language,Africa,2.98585,28.7911
gbay1287,Gbaya-Bossangoa,gbp,language,Africa,6.61896,17.645
gbay1286,Gbaya-Bozoum,gbq,language,Africa,5.9879,16.4643
gbay1292,Gbaya-Dara,,dialect,Africa,,
gbay1290,Gbaya-Gboko,,dialect,Africa,,
gbay1283,Gbaya Kara,,dialect,Africa,,
gbay1281,Gbaya-Mbodomo,gmm,language,Africa,4.800365,14.606865
gbay1289,Gbaya-Ndogo,,dialect,Africa,,
gbay1291,Gbaya-Ngbongbo,,dialect,Africa,,
gbay1285,Gbaya of Boda,,dialect,Africa,,
gbay1288,Gbaya (Sudan),krs,language,Africa,8.43391,25.5173
gbay1278,Gbayi,gyg,language,Africa,5.57378,21.9707
gbed1241,Gbedde,,dialect,Africa,,
gbek1244,Gbekon,,dialect,Africa,,
gben1241,Gbende,,dialect,Africa,,
gben1242,Gbendembu,,dialect,Africa,,
gbep1238,Gbepo,,dialect,Africa,,
gbes1238,Gbesi Gbe,gbs,language,Africa,6.55911,2.0269
gbet1241,Gbete,,dialect,Africa,,
gbey1245,Gbeyãse,,dialect,Africa,,
gbii1241,Gbi,,dialect,Africa,,
gbii1242,Gbii,ggb,language,Africa,5.87021,-8.9346
gbin1239,Gbin,xgb,language,Africa,8.020857,-2.811213
gbin1238,Gbin (Ewe),,dialect,Africa,,
gbir1242,Gbiri,,dialect,Africa,,
gbir1241,Gbiri-Niragu,grh,language,Africa,10.3923,8.43157
gboo1244,Gbo,,dialect,Africa,,
gbog1238,Gbogorose,,dialect,Africa,,
gbok1238,Gbokpa,,dialect,Africa,,
gbol1235,Gboloo Grebo,gec,language,Africa,4.75405,-7.66699
gboo1246,Gboo,,dialect,Africa,,
gbor1241,Gbor,,dialect,Africa,,
gbor1242,Gborbo,,dialect,Africa,,
gbow1238,Gbowe-Hran,,dialect,Africa,,
gboo1245,Gbo (Western Krahn),,dialect,Africa,,
gbug1238,Gbugbla,,dialect,Africa,,
geal1238,Gcaleka,,dialect,Africa,,
gdon1234,Gdongbrgyad-Kamnyu,,dialect,,,
geee1239,Ge,hmj,language,Eurasia,26.8542,107.823
geag1239,Geagea,,dialect,Papunesia,,
geba1237,Geba Karen,kvq,language,Eurasia,19.4991,96.9492
gebe1237,Gebe,gei,language,Papunesia,-0.07877,129.424
gebi1241,Gebi,,dialect,Papunesia,,
geda1237,Gedaged,gdd,language,Papunesia,-5.18175,145.781
gede1241,Gedegede,,dialect,Africa,,
gede1246,Gedeo,drs,language,Africa,6.18469,38.2395
gede1242,Gederobo,,dialect,Africa,,
geed1237,Geedam,,dialect,Eurasia,,
geez1241,Geez,gez,language,Africa,10.1342,40.6821
geic1236,Geico,,language,South America,-6.56,-43.0
geji1246,Geji,gji,language,Africa,10.3478,9.64965
geji1239,Gejiahua,,dialect,Eurasia,,
geko1235,Geko Karen,ghk,language,Eurasia,19.6741,96.5308
gekx1238,Gekxun,,dialect,Eurasia,,
gela1263,Gela,nlg,language,Papunesia,-9.04587,160.186
gela1262,Gelama,,dialect,Africa,,
gela1261,Gelao,gio,language,Eurasia,26.1545,106.235
gela1264,Gelao Mulao,giu,language,Eurasia,26.574605,107.239537
gele1238,Gelekidoria,,dialect,Eurasia,,
geli1237,Gelimi,,dialect,Papunesia,,
gema1236,Geman Deng,gen,language,,,
geme1244,Geme,geq,language,Africa,8.48359,20.6611
geme1245,Geme Kulagbolu,,dialect,Africa,,
geme1246,Geme Tulu,,dialect,Africa,,
gemz1238,Gemzek,,dialect,Africa,,
genn1243,Gen,gej,language,Africa,6.25971,1.67727
gend1249,Gende,gaf,language,Papunesia,-5.67528,145.177
gend1248,Gendok,,dialect,Papunesia,,
geng1244,Gengele,,dialect,Africa,,
geng1243,Gengle,geg,language,Africa,8.8956,11.9527
kuga1239,Gengle-Kugama,kow,language,Africa,8.91972,12.12947
geno1240,Genoese,,dialect,Eurasia,,
nucl1302,Georgian,kat,language,Eurasia,41.850397,43.78613
geor1254,Georgian Sign Language,,language,Eurasia,,
gepo1234,Gepo,ygp,language,Eurasia,25.7,102.5
gera1246,Gera,gew,language,Africa,10.4331,10.12
gera1241,Gerai,,dialect,Papunesia,,
gera1240,Gerash,,dialect,Eurasia,,
gere1238,Gerep,,dialect,Africa,,
gerg1238,Gergere,,dialect,Africa,,
geri1237,Geri,,dialect,Papunesia,,
gerl1239,Gerlovo Turks,,dialect,Eurasia,,
stan1295,German,deu,language,Eurasia,48.649,12.4676
germ1281,German Sign Language,gsg,language,Eurasia,50.8154,7.30478
geru1240,Geruma,gea,language,Africa,10.4775,9.78484
gesd1238,Gesda Dae,,dialect,Papunesia,,
gese1240,Geser-Gorom,ges,language,Papunesia,-3.8016,130.701
gesh1238,Geshiza,,dialect,Eurasia,,
gess1238,Gess,,dialect,Eurasia,,
geya1234,Gey,guv,language,Africa,9.37513,13.5809
ghaa1238,Ghaangala,,dialect,Africa,,
ghad1239,Ghadames,gha,language,Africa,30.1168,10.0165
ghag1238,Ghagar,,dialect,Eurasia,,
ghai1237,Ghaimuta,,dialect,Papunesia,,
smal1236,Gha-mu,sfm,language,Eurasia,22.5638,101.95
ghan1244,Ghanaian Pidgin English,gpe,language,Africa,5.793241,-0.283641
ghan1235,Ghanaian Sign Language,gse,language,Africa,5.55225,-0.30274
ghan1245,Ghandruk Sign Language,gds,language,Eurasia,,
ghan1242,Ghanongga,ghn,language,Papunesia,-8.02035,156.552
ghar1240,Ghardaia Sign Language,,language,Africa,,
ghar1239,Ghari,gri,language,Papunesia,-9.4791,159.917
ghat1242,Ghat,,dialect,Africa,,
ghat1238,Ghati,,dialect,Eurasia,,
ghay1237,Ghayavi,bmk,language,Papunesia,-10.011,149.84
gheg1238,Gheg Albanian,aln,language,Eurasia,42.317,21.3837
gher1238,Ghera,ghr,language,Eurasia,25.383,68.368
ghil1238,Ghilzai,,dialect,Eurasia,,
ghin1238,Ghini,,dialect,Papunesia,,
ghol1238,Ghol,,dialect,Africa,,
ghom1247,Ghomálá',bbj,language,Africa,5.39619,10.352
ghom1250,Ghomálá Central,,dialect,Africa,,
ghom1248,Ghomálá North,,dialect,Africa,,
ghom1249,Ghomálá South,,dialect,Africa,,
ghom1257,Ghomara,gho,language,Africa,34.7979,-4.6696
ghon1237,Ghone,,dialect,Papunesia,,
ghot1243,Ghotuo,aaa,language,Africa,7.11551,5.95663
ghud1238,Ghudavan,,dialect,Africa,,
ghuj1238,Ghujulan,,dialect,Eurasia,,
ghus1238,Ghusbanggi,,dialect,Eurasia,,
gian1240,Giang,,dialect,Eurasia,,
gian1241,Giangan,bgi,language,Papunesia,6.99967,125.359
giba1246,Gibaio,,dialect,Papunesia,,
giba1240,Gibanawa,gib,language,Africa,12.584,8.615
giba1247,Gibario,,dialect,Papunesia,,
gich1238,Gichugu,,dialect,Africa,,
gida1240,Gidabal,gih,dialect,Australia,,
gida1247,Gidar,gid,language,Africa,9.874715,14.07845
gifu1238,Gifu-Aichi,,dialect,Papunesia,,
giga1238,Gigatl,,dialect,Eurasia,,
giiw1236,Giiwo,kks,language,Africa,10.35754,10.46037
giko1238,Gikolodjya,,dialect,Africa,,
giky1238,Gikyode,acd,language,Africa,8.39478,0.56975
gila1241,Gilaki,glk,language,Eurasia,37.1344,49.8359
gilb1242,Gilbagala,,dialect,Africa,,
gilb1243,Gil Bagale,,dialect,Africa,,
gilb1244,Gilbertese,gil,language,Papunesia,-1.34,176.44
gile1238,Gilempla,,dialect,Africa,,
gilg1243,Gilgit,,dialect,Eurasia,,
gilg1242,Gilgiti,,dialect,Eurasia,,
gili1246,Gili,,dialect,Africa,,
gili1242,Gilika,,dialect,Papunesia,,
gili1241,Gilima,gix,language,Africa,4.5585,19.0091
meso1252,Gilit Mesopotamian Arabic,acm,language,Eurasia,33.8178,43.1095
gimb1238,Gimba,,dialect,Africa,,
gimi1243,Gimi (Eastern Highlands),gim,language,Papunesia,-6.42097,145.214
gimi1242,Gimi (West New Britain),gip,language,Papunesia,-6.02464,149.478
gimm1241,Gimme,kmp,language,Africa,8.58084,12.6658
gimn1238,Gimnime,gmn,language,Africa,8.58129,12.7869
guim1240,Gimri Kan,,dialect,Africa,,
gims1238,Gimsbok Nama,,dialect,Africa,,
gina1239,Ginaourou,,dialect,Africa,,
ging1242,!Gingkwe,,dialect,Africa,,
ging1241,Gingwak,,dialect,Africa,,
gink1238,G!inkwe,,dialect,Africa,,
ginu1240,Ginuman,gnm,language,Papunesia,-10.0298,149.7
giny1242,Ginyamunyinganyi,,dialect,Africa,,
giny1241,Ginyanga,ayg,language,Africa,8.2327,0.98348
gion1237,Gion,,dialect,Papunesia,,
gira1246,Girango,,dialect,Africa,,
gira1247,Girawa,bbr,language,Papunesia,-5.35342,145.423
girg1242,Girga,,dialect,Africa,,
girg1241,Girga (Assangori),,dialect,Africa,,
giri1244,Giribam,,dialect,Papunesia,,
giri1243,Giripari,,dialect,Eurasia,,
giri1245,Girirra,,language,Africa,5.76,42.17
girr1240,Girramy,,dialect,Australia,,
girw1238,Girwana,,dialect,Africa,,
giry1241,Giryama,nyf,language,Africa,-3.30638,39.6648
gisa1238,Gisamjanga,,dialect,Africa,,
gise1241,Giseda,,dialect,Africa,,
gise1242,Gisème,,dialect,Africa,,
gito1238,Gitonga,toh,language,Africa,-23.7964,35.1577
gito1239,Gitonga Gy Khogani,,dialect,Africa,,
gits1238,Gitsken,,dialect,North America,,
gitu1237,Gitua,ggt,language,Papunesia,-6.0151,147.485
gitx1241,Gitxsan,git,language,North America,55.09,-128.08
giya1234,Giya,,language,Australia,,
giyu1238,Giyug,giy,language,Australia,-13.2001,130.092
giza1238,Gizay,,dialect,Africa,,
gize1234,Gizey,,language,Africa,10.023278,15.269103
gizi1238,Gizima,,dialect,Africa,,
gizr1240,Gizrra,tof,language,Papunesia,-9.183,142.804
gjun1238,Gjunej,,dialect,Eurasia,,
glar1242,Glaro,,dialect,Africa,,
glar1241,Glaro-Twabo,glr,language,Africa,5.23264,-7.50317
glav1244,Glavda,glw,language,Africa,11.1334,13.8652
glaw1238,Glawlo,,dialect,Africa,,
gleb1238,Glebo,,dialect,Africa,,
glib1238,Glibe,,dialect,Africa,,
glij1238,Gliji,,dialect,Africa,,
glio1241,Glio-Oubi,oub,language,Africa,5.39966,-7.50585
glob1238,Globo,,dialect,Africa,,
gnau1240,Gnau,gnu,language,Papunesia,-3.59093,142.196
gnoo1238,Gnoore,,dialect,Africa,,
goan1235,Goan Konkani,gom,language,Eurasia,15.2732,74.2098
goar1239,Goaria,gig,language,Eurasia,27.253,68.363
goba1246,Gobasi,goi,language,Papunesia,-6.48678,142.201
goba1245,Gobato,,dialect,Africa,,
gobe1239,Gobeze,,dialect,Africa,,
gobi1238,Gobirawa,,dialect,Africa,,
gobu1238,Gobu,gox,language,Africa,5.01201,20.0194
godd1237,Godda,,dialect,Eurasia,,
godi1239,Godié,god,language,Africa,5.3944,-5.82696
ghod1238,Godoberi,gdo,language,Eurasia,42.7428,46.2252
godw1242,Godwani,,dialect,Eurasia,,
godw1241,Godwari,gdx,language,Eurasia,24.885,72.846
goem1240,Goemai,ank,language,Africa,8.74455,9.72453
goer1238,Goerees,,dialect,Eurasia,,
gofa1235,Gofa,gof,language,Africa,6.57645,37.05
gogo1263,Gogo,gog,language,Africa,-6.35951,35.4807
gogo1265,Gogodala,ggw,language,Papunesia,-8.08527,142.874
goia1237,Goiala,,dialect,Papunesia,,
goja1238,Gojal,,dialect,Eurasia,,
gokk1238,Gok,,dialect,Africa,,
goka1239,Gokana,gkn,language,Africa,4.61889,7.34457
gokl1239,Goklen,,dialect,Eurasia,,
gokw1238,G!okwe,,dialect,Africa,,
goll1238,Gol,,dialect,Africa,,
gola1255,Gola,gol,language,Africa,7.06193,-10.8138
gola1256,Gola (Nigeria),,dialect,Africa,,
gola1259,Golar,,dialect,Eurasia,,
gola1254,Golar (Austroasiatic),,dialect,Eurasia,,
gola1244,Golari,,dialect,Eurasia,,
goli1247,Golin,gvf,language,Papunesia,-6.2249,144.8505
goll1242,Gollango,,dialect,Africa,,
golu1238,Golumala,,dialect,Australia,,
gomb1248,Gombe,,dialect,Africa,,
gomb1249,Gombe (Sena),,dialect,Africa,,
gomb1250,Gombo,,dialect,Africa,,
gomb1251,Gomboro,,dialect,Africa,,
gomi1239,Gomia,,dialect,Papunesia,,
gomm1238,Gomme,,dialect,Africa,,
gomn1238,Gomnome,,dialect,Africa,,
gone1237,Gone Dau,goo,language,Papunesia,-16.5886,178.599
gong1251,Gongduk,goe,language,Eurasia,27.066,91.1686
gong1240,Gonge,,dialect,Africa,,
gong1252,Gongla,,dialect,Africa,,
gong1254,Gongon Lobi,,dialect,Africa,,
gonj1241,Gonja,gjn,language,Africa,8.48801,-0.72757
gono1238,Gono,,dialect,Africa,,
gons1237,Gonsomon,,dialect,Papunesia,,
gooa1234,Goo,,language,Africa,,
goom1239,Goom,,dialect,Africa,,
goon1238,Gooniyandi,gni,language,Australia,-18.4073,126.351
gorr1238,Gor,gqr,language,Africa,8.0841,17.0713
gora1264,Gora,,dialect,Papunesia,,
gora1266,Gora-Bomahouji,,dialect,Papunesia,,
gora1260,Gorakhpuri,,dialect,Eurasia,,
gora1262,Gorakor,goc,language,Papunesia,-6.85564,146.579
gora1263,Goram Laut,,dialect,Papunesia,,
gora1261,Gorap,goq,language,Papunesia,2.13058,128.261
gora1265,Gorau,,dialect,Papunesia,,
gora1259,Gorawati,,dialect,Eurasia,,
gorb1238,Gorbo,,dialect,Africa,,
gore1235,Goreng,xgg,dialect,,,
gorg1240,Gorgani,,dialect,Eurasia,,
gori1239,Gori,,dialect,Africa,,
gork1242,Gorkha Gurung,,dialect,Eurasia,,
gork1241,Gorkhali,,dialect,Eurasia,,
gorm1238,Gorminang,,dialect,Australia,,
goro1256,Gorongosa,,dialect,Africa,,
goro1259,Gorontalo,gor,language,Papunesia,0.62689,122.288
goro1260,Gorontalo Kota,,dialect,Papunesia,,
goro1271,Gorose,,dialect,Africa,,
goro1261,Gorovu,grq,language,Papunesia,-4.52947,144.59
goro1270,Gorowa,gow,language,Africa,-4.23575,35.7996
pare1266,Gorum-Parenga,pcj,language,Eurasia,19.075,83.9723
gosh1237,Gosho,,dialect,Papunesia,,
gosi1242,Gosiute,,dialect,North America,,
goth1244,Gothic,got,language,Eurasia,46.9304,29.9786
goua1238,Gouande,,dialect,Africa,,
goui1239,Gouindougouba,,dialect,Africa,,
goul1238,Goula,,dialect,Africa,,
goul1242,Goulfey,,dialect,Africa,,
guin1237,Goulou,,dialect,Eurasia,,
goun1238,Goundo,goy,language,Africa,9.46683,16.255
gour1247,Gourara,,dialect,Africa,,
gour1243,Gourmanchéma,gux,language,Africa,11.6711,1.28489
gour1242,Gourmantche,,dialect,Africa,,
gova1253,Gova,,dialect,Africa,,
gova1251,Govari,,dialect,Eurasia,,
gova1250,Govari of Seoni,,dialect,Eurasia,,
gove1240,Govera,,dialect,Africa,,
gove1241,Governor Generoso Manobo,,dialect,Papunesia,,
govo1238,Govoro,,dialect,Africa,,
gowa1239,Gowa,,dialect,Papunesia,,
gowl1242,Gowlan,goj,language,Eurasia,21.5096,77.2647
gowl1241,Gowli,gok,language,Eurasia,21.7726,77.3733
gowr1239,Gowro,gwf,language,Eurasia,35.1243,73.1233
goza1238,Gozarkhani,goz,language,Eurasia,36.4133,50.6987
gozo1238,Gozo,,dialect,Eurasia,,
gram1239,Gramsukraviri,,dialect,Eurasia,,
gran1245,Grangali,nli,language,Eurasia,34.6485,70.7323
gras1249,Grass Koiari,kbk,language,Papunesia,-9.51218,147.437
gras1239,Grassland Mari,,dialect,Eurasia,,
grau1238,Graubenden-Grisons,,dialect,Eurasia,,
grea1271,Greater Kabardian,,dialect,Eurasia,,
grea1268,Greater Sedang,,dialect,Eurasia,,
grea1267,Great Nicobar,,dialect,Eurasia,,
gree1277,Greek Romani,,dialect,Eurasia,,
gree1271,Greek Sign Language,gss,language,Eurasia,38.0536,23.3762
grek1238,Grekurja,,dialect,Eurasia,,
gren1245,Grenada-Mendoza,,dialect,South America,,
gren1247,Grenadian Creole English,gcl,language,North America,12.0067,-61.6989
gres1240,Gresi,grs,language,Papunesia,-2.72229,140.279
grif1237,Griffin Point,,dialect,Papunesia,,
grik1245,Grik,,dialect,Eurasia,,
grog1237,Grogo,,dialect,Papunesia,,
grom1238,Groma,gro,language,Eurasia,27.6089,88.8541
gron1243,Groningen-East Frisian,,dialect,Eurasia,,
gron1242,Gronings,gos,language,Eurasia,53.2842,6.698
gros1243,Gros Ventre,ats,language,North America,48.4834,-108.738
grou1256,Group 1,,dialect,Eurasia,,
grou1255,Group 2,,dialect,Eurasia,,
gtsa1238,Gtsang,,dialect,Eurasia,,
guuu1237,Gu,,dialect,Papunesia,,
guaa1238,Gua,gwx,language,Africa,6.52106,0.16932
guac1239,Guachi,,language,South America,-19.340172,-56.3452
guac1240,Guachipas,,language,South America,,
guad1242,Guadeloupean Creole French,gcf,language,North America,14.4989,-61.0228
guah1255,Guahibo,guh,language,South America,5.81736,-68.9839
guai1246,Guaicaro,,language,South America,,
guai1237,Guaicurian,,language,North America,24.1666666667,-110.3
guaj1256,Guajá,gvj,language,South America,-3.93574,-46.3683
guaj1255,Guajajára,gub,language,South America,-4.69461,-45.7081
gual1239,Guale,,language,North America,,
guam1248,Guambiano,gum,language,South America,2.55849,-76.582
guam1236,Guamo,,language,South America,9.596959,-68.98407
guan1268,Guana (Paraguay),gva,language,South America,-21.9803,-58.0654
guan1280,Guan-Bao,,dialect,,,
guan1277,Guanche,gnc,language,Africa,28.0,-15.5
guan1279,Guangzhou,,dialect,,23.1253503,112.9476548
guan1252,Guanyingqiao,,dialect,Eurasia,,
guar1292,Guarayu,gyr,language,South America,-15.8247,-61.6934
guar1294,Guaru,,language,South America,-0.25,-71.65
guat1249,Guatemalan Sign Language,gsm,language,North America,14.5034,-90.5667
guat1253,Guató,gta,language,South America,-17.8696,-57.2897
guay1257,Guayabero,guo,language,South America,2.8969,-71.844
guay1256,Guayuyaco,,dialect,South America,,
guaz1234,Guazapar,,language,North America,27.357,-108.279
guba1245,Guba,,dialect,Africa,,
guba1244,Guba (Ethiopia),,dialect,Africa,,
guba1246,Gubang Itneg,,dialect,Papunesia,,
guba1247,Gubatnon,,dialect,Papunesia,,
gube1234,Gubeeher-Gufangor-Gubelor,,language,Africa,12.56,-17.19
gubi1238,Gubi,,dialect,Africa,,
guda1243,Gudandji,,dialect,Australia,,
guda1244,Gudang,,language,Australia,-10.91613599,142.5768928
guda1242,Gudanji,nji,language,Australia,-17.5349,134.395
gude1246,Gude,gde,language,Africa,10.2138,13.403
gude1239,Gudeni,,dialect,Africa,,
gudi1238,Gudi,,dialect,Africa,,
gudj1237,Gudjal,,language,Australia,-19.44157406,144.6482584
gudu1250,Gudu,gdu,language,Africa,10.1206,12.5359
gudu1252,Guduf-Gava,gdf,language,Africa,11.1057,13.7893
gudu1251,Gudur,,dialect,Africa,,
gueb1238,Guebie,,dialect,Africa,,
guen1235,Güenoa,,language,,-33.810189,-54.473877
guer1242,Gueren,,language,South America,-17.726974,-39.61441
guer1243,Guerrero Amuzgo,amu,language,North America,16.77226,-98.18953
guev1238,Guevea De Humboldt Zapotec,zpg,language,North America,16.7312,-95.3641
guga1239,Gugadj,ggd,language,Australia,-17.8372,141.168
gugi1238,Gugiko,,dialect,Africa,,
gugu1253,Gugu Badhun,gdc,language,Australia,-18.4921,144.46
gugu1254,Gugubera,kkp,language,Australia,-15.4296,141.635
gugu1257,Gugu Mini,ggm,language,Australia,,
guhu1244,Guhu-Samane,ghs,language,Papunesia,-7.99922,147.228
guia1241,Guiam,,dialect,Papunesia,,
guia1246,Guianese Creole French,gcr,language,South America,4.94804,-52.7336
guib1245,Guibei Zhuang,zgb,language,Eurasia,23.6818,107.184
guib1247,Guiberoua,,dialect,Africa,,
guib1246,Guiberoua Béte,bet,language,Africa,6.13837,-6.51291
guib1244,Guibian Zhuang,zgn,language,Eurasia,23.6818,107.184
guid1240,Guidiville,,dialect,North America,,
guil1236,Güilá Zapotec,ztu,language,North America,16.8824,-96.4572
guil1240,Guilia,,dialect,Africa,,
guil1241,Guilin Pinghua,,dialect,,25.266667,110.283333
guim1241,Guimaras Island,,dialect,Papunesia,,
guin1255,Guinaang,,dialect,Papunesia,,
guin1256,Guinaang Bontoc,,dialect,Papunesia,,
