glottocode,name,isocodes,level,macroarea,latitude,longitude
adiy1237,Adiya,,dialect,Eurasia,,
adja1238,Adjabdurah,,dialect,Australia,,
adju1239,Adjumani,,dialect,Africa,,
adku1239,Adkuri,,dialect,Eurasia,,
adny1235,Adnyamathanha,adt,language,Australia,-30.1451,138.671
adoo1237,Ado,,dialect,Papunesia,,
adom1238,Adoma,,dialect,Africa,,
adon1237,Adonara,adr,language,Papunesia,-8.32027,123.159
adoy1238,Adoyo,,dialect,Africa,,
aduu1238,Adu,,dialect,Papunesia,,
adug1238,Aduge,adu,language,Africa,7.64567,6.13085
adun1238,Adun,,dialect,Africa,,
adur1234,Adurgari,,language,Eurasia,,
adyg1241,Adyghe,ady,language,Eurasia,44.0,39.33
adze1240,Adzera,adz,language,Papunesia,-6.39394,146.294
adze1241,Adzera (Retired),azr,language,,,
adzh1238,Adzhar,,dialect,Eurasia,,
aegi1237,Aegina,,dialect,Eurasia,,
aeka1244,Aeka,aez,language,Papunesia,-8.79019,148.09
aeky1238,Aekyom,awi,language,Papunesia,-5.88478,141.532
aeol1234,Aeolic,,dialect,,,
aerr1238,Aer,aeq,language,Eurasia,25.254,69.029
abis1238,Aewa,ash,language,South America,-0.69386,-75.2183
aewa1238,Aewa (Western Province),,dialect,Papunesia,,
afaa1238,Afa,,dialect,Africa,,
afad1236,Afade,aal,language,Africa,12.0551,14.6343
afar1241,Afar,aar,language,Africa,12.2281,41.8083
afas1238,Af-Ashraaf,,dialect,Africa,,
affa1240,Affade,,dialect,Africa,,
affi1239,Affiniam,,dialect,Africa,,
afgh1240,Afghanistan Gorbat,,language,Eurasia,,
afgh1239,Afghan Sign Language,afg,language,Eurasia,,
afhe1238,Af-Helledi,,dialect,Africa,,
afik1238,Afikpo,,dialect,Africa,,
afit1238,Afitti,aft,language,Africa,12.446,30.7611
afor1239,Afore,,dialect,Papunesia,,
afri1271,Afridi,,dialect,Eurasia,,
afri1274,Afrikaans,afr,language,Africa,-22.0,30.0
afri1272,Afrike,,dialect,Africa,,
afro1254,Afro-Seminole Creole,afs,language,North America,31.7843,-99.2934
afsh1238,Afshari,,dialect,Eurasia,,
afud1235,Afudu,,language,Africa,,
agaa1241,Aga,,dialect,Eurasia,,
agal1241,Agalo,,dialect,Africa,,
agam1238,Agam,,dialect,Papunesia,,
agan1234,Agan,,dialect,,,
agar1249,Agar,,dialect,Africa,,
agar1252,Agarabi,agd,language,Papunesia,-6.20604,145.917
agar1250,Agari of Kolaba,,dialect,Eurasia,,
agar1251,Agariya,agi,language,Eurasia,24.5024,82.297
agat1236,Agatu,agc,language,Africa,7.97915,7.71639
agau1239,Agaunshe,,dialect,Africa,,
agav1236,Agavotaguerra,avo,language,South America,-13.29849,-53.43936
agba1238,Agbarho,,dialect,Africa,,
agbi1234,Agbirigba,,language,Africa,,
agbo1241,Agbome,,dialect,Africa,,
agbo1242,Agbon,,dialect,Africa,,
agee1238,Ageer,,dialect,Africa,,
aghe1239,Aghem,agq,language,Africa,6.38956,10.0807
agho1238,Agholo,,dialect,Africa,,
aghu1255,Aghu,ahh,language,Papunesia,-6.34674,140.043
aghu1253,Aghul,agx,language,Eurasia,41.9242,47.5843
